name,img,price,
"Antracyt","antracyt",0
"Antracyt2","antracyt2",0
"Biały","biel",0
"Brąz","braz",0
"Dąb bag.","dabbagienny",9
"Kremowy","krem",0
"Mahon","mahon",9
"Orzech","orzech",9
"Sosna","sosna",9
"Winchester","winchester",9
"Złoty dąb","zlotydab",9
